Government,Region,Issuing Area of Government,Title,Type,Date,OSS Specific?,Stated Objective: Cost,Stated Objective: Sovereignty,Stated Objective: Support for National Industry,Stated Objective: Modernization,Stated Objective: Transparency,Stated Objective: Security,Action,Term,Status,Comments,Source,Source II,Notes
Argentina,South America,Legislative,0298-S-2020,Bill,2020,Yes,X,-,-,X,X,-,Procurement - mandatory,FLOSS / FOSS,Proposed,Would mandate all branches to migrate toward the exclusive use of open format programs.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/298.20/S/PL,,
Argentina,South America,Legislative,2539-D-2021,Bill,2021,No,-,X,-,X,X,-,Procurement - mandatory,FLOSS / FOSS,Proposed,Systems installed in educational facilities will rely exclusively on free software. The Ministry for Education will promote its use - particularly the development of the OS Huayra.,https://www4.hcdn.gob.ar/dependencias/dsecretaria/Periodo2021/PDF2021/TP2021/2539-D-2021.pdf,,
Argentina,South America,Legislative,0105-S-2022,Bill,2022,Yes,X,-,-,X,X,-,Procurement - mandatory,FLOSS / FOSS,Proposed,All branches of government are mandated to use OSS developed with open standards.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/105.22/S/PL,,
Argentina,South America,Legislative,1905-D-2010,Bill,2010,Yes,X,-,X,X,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Requests the Executive to use only OSS on the computers provided to students and teachers under Decree 459/2010.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1905-D-2010&tipo=RESOLUCION,,
Argentina,South America,Legislative,2385-D-2010,Bill,2010,Yes,-,-,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Requests the Executive to use OSS on the computers provided to students and teachers under Decree 459/2010.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2385-D-2010&tipo=RESOLUCION,,
Argentina,South America,Legislative,1292-S-2010,Bill,2010,Yes,X,X,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Resolution would require all systems used by the Senate to use OSS within the year of approval. Expired in February 2012.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1292.10/S/PR,,
Argentina,South America,Legislative,1443-D-2013: Regime for the Migration of Operating Systems Installed in laptops and desktop devices of the national public administration,Bill,2013,Yes,X,X,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,"Art. 1:  The public national administration (centralized and decentralized), Legislative and Judicial Powers, must migrate toward ""Free Software"" in their laptops and desktop within 10 years. Replicated by Bill 0934-D-15.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1443-D-2013&tipo=LEY,,
Argentina,South America,Ministry,Technological Decalogue,Other,2019,No,X,-,X,-,X,-,How to Use,Public Software,Approved,"Set by the National Office of Information Technologies. The ONTI Technological Decalogue recommends designing solutions that can be reutilized, and to share them to reduce costs. Also recommends open standards to maximize transparency.",https://www.argentina.gob.ar/sites/default/files/decalogo_tecnologico_onti_version_1_1_0.pdf,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-2-2018-313392/texto,
Argentina,South America,Legislative,1688-D-2013: Policy for Software Licensing for the National Government,Bill,2013,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,All branches of government are mandated to implement OSS in their systems and devices.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1688-D-2013&tipo=LEY,,
Argentina,South America,Legislative,2097-D-2013: Use of Free Software for the National Government,Bill,2013,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,"All branches of government will prefer free software, progressively, until they reach total use.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2097-D-2013&tipo=LEY,,
Argentina,South America,Ministry,Code of Best Practices in the development of Public Software,Other,2019,No,X,-,-,X,-,-,How to Use,Public Software,Approved,"Set by the National Office of Information Technologies, it provides guidelines for the development of public software.",https://www.argentina.gob.ar/onti/codigo-de-buenas-practicas-para-el-desarrollo-de-software-publico,,
Argentina,South America,Agency,Resolution 681/2007,Directives & Regulation,2007,Yes,X,-,X,-,-,-,Procurement - advisory,FLOSS / FOSS,Approved,"Authorizes the use of the Free Software for Access to Systems called ""SAS-ANSES 3270"". License.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/130000-134999/134247/norma.htm,,
Argentina,South America,Ministry,Resolution 823/2007,Directives & Regulation,2007,Yes,-,-,-,-,-,-,Procurement - advisory,FLOSS / FOSS,Approved,Authorization of use for Free Software system.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/125000-129999/129729/norma.htm,,
Argentina,South America,Ministry,Resolution 1041/2012: Comprehensive Educational Information System and the Infoedu Portal - Lines of Action,Directives & Regulation,2012,No,-,-,-,-,-,-,Procurement - advisory,FLOSS / FOSS,Approved,"For the development of a portal for the Ministry of Education, the resolution recommends using a design developed through free software.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/195000-199999/199678/norma.htm,,
Argentina,South America,Ministry,National Digitalization Plan,Strategy,2019,No,-,-,-,-,-,-,Procurement - advisory,FLOSS / FOSS,Approved,"Set by the Undersecretariat of Administration Innovation. The national digitalization plan made available various piece of OSS to local municipalities, state-run companies, and universities to assist with their digitalization. ",https://www.argentina.gob.ar/jefatura/innovacion-publica/gobierno-abierto-y-pais-digital/paisdigital/soluciones-tecnologicas-para-la-administracion-publica,,
Argentina,South America,Ministry,Disposition 408/2013: Approves the Open Public Data Directive for the Electoral Administration,Directives & Regulation,2013,No,-,-,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Approved,This disposition from the National Electoral Directorate states that development tools should preference the use of open source.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/221756/norma.htm,,
Argentina,South America,Legislative,0777-S-2014: Argentina's Free Software Law,Bill,2014,Yes,X,-,-,-,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,The national government branches and offices must transition toward using free software. Expired in February 2016.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/777.14/S/PL,,
Argentina,South America,Executive,Resolution 3385/2011:Approve the Call for the Presentation of Projects in the Framework of the Points of Culture Program During the Year 2011,Directives & Regulation,2011,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Art. 29: Provision of multimedia equipment for digital inclusion includes (amongst others) a computer with OSS programs.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/185000-189999/185468/norma.htm,,
Argentina,South America,Legislative,1349-S-2014: Use of Free Software in the National Government,Bill,2014,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,The national government branches and offices must transition toward using free software. Expired in February 2016.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1349.14/S/PL,,
Argentina,South America,Executive,Resolution 2641/2011,Directives & Regulation,2011,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Selected organizations will receive equipment including open source software for audio editing.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/180000-184999/183988/norma.htm,,
Argentina,South America,Executive,Resolution 3149/2012: Approve the Second Call for the Presentation of Projects in the Framework of the Points of Culture Program,Directives & Regulation,2012,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Art. 29: Provision of multimedia equipment for digital inclusion includes (amongst others) a computer with OSS programs.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/195000-199999/199884/norma.htm,,
Argentina,South America,Executive,Resolution 7495/2013: Approve the Third Call for the Presentation of Projects in the Framework of the Points of Culture Program,Directives & Regulation,2013,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Art. 29: Provision of multimedia equipment for digital inclusion includes (amongst others) a computer with OSS programs.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/221312/norma.htm,,
Argentina,South America,Ministry,Disposition 1-E/2017,Directives & Regulation,2017,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Creates the Spatial Data Infrastructure  (IDE); amongst its functions is to delineate policies on Free Software for Geographic Information Systems (Art. 2.c).,http://servicios.infoleg.gob.ar/infolegInternet/anexos/270000-274999/271923/norma.htm,,
Argentina,South America,Ministry,Resolution 217/2018: Spatial Data Infrastructure System for Communication,Directives & Regulation,2018,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Creates the Spatial Data Infrastructure System for Communication (IDECOM); amongst its functions is to delineate policies on Free Software for Geographic Information Systems (Art. 2.c).,http://servicios.infoleg.gob.ar/infolegInternet/anexos/305000-309999/308981/norma.htm,,
Argentina,South America,Legislative,5474-D-2001,Support,2001,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the first encounter on OSS for education to be of parliamentary interest.,https://www.hcdn.gov.ar/proyectos/index.html,,
Argentina,South America,Executive,Resolution 259/2003,Support,2003,Yes,-,-,-,X,-,-,R&D,FLOSS / FOSS,Approved,"Declares the ""Free Software Area in the National State"" undertaking to be of national interest.",https://www.boletinoficial.gob.ar/detalleAviso/primera/7253104/20030522?busqueda=1,,
Argentina,South America,Executive,Resolution 299/2004: Declare the first National Conference on Free Software to be of national interest,Support,2004,Yes,X,-,X,-,-,-,R&D,FLOSS / FOSS,Approved,Declare the first National Conference on Free Software to be of national interest.,https://www.boletinoficial.gob.ar/detalleAviso/primera/7263655/20040604?busqueda=1,,
Argentina,South America,Executive,Resolution 665/2005,Support,2005,Yes,-,-,X,-,-,-,R&D,FLOSS / FOSS,Approved,Declare the second National Conference on Free Software to be of national interest.,https://www.boletinoficial.gob.ar/detalleAviso/primera/7275750/20050609?busqueda=1,,
Argentina,South America,Legislative,7728-D-2014,Bill,2014,Yes,X,-,X,-,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,"Would make the use of free software mandatory for the exchange, transmission, storage and processing of electronic data, information and documents in the national public administration.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7728-D-2014&tipo=LEY,,
Argentina,South America,Legislative,6412-D-2006,Support,2006,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the social project for the development and incorporation of computer technology based exclusively on free software called UTUTO to be of national interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6412-D-2006&tipo=RESOLUCION,,
Argentina,South America,Legislative,0359-D-2007,Support,2007,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the VII regional conference for OSS to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=0359-D-2007&tipo=RESOLUCION,,
Argentina,South America,Legislative,4821-D-2007,Support,2007,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the 3rd Strategic Encounter of OSS and the 1st Regional Encounter of OSS to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4821-D-2007&tipo=RESOLUCION,,
Argentina,South America,Legislative,2185-D-2008,Support,2008,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the Latin American Free Software Installation Festival (FLISOL) of congressional interest  (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2185-D-2008&tipo=RESOLUCION,,
Argentina,South America,Legislative,5758-D-2008,Support,2008,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the 1st National Congress on Free Software to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=5758-D-2008&tipo=RESOLUCION,,
Argentina,South America,Legislative,1843-S-2008,Support,2008,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the VIII regional conference for OSS to be of congressional interest (Senate).,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1843.08/S/PD,,
Argentina,South America,Legislative,0832-S-2010,Support,2010,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the II Free Software Festival to be of congressional interest (Senate).,https://www.senado.gob.ar/parlamentario/comisiones/verExp/832.10/S/PD,,
Argentina,South America,Legislative,2383-D-2010,Support,2010,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Declares the Festival of OSS Installation of congressional interest  (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2383-D-2010&tipo=DECLARACION,,
Argentina,South America,Legislative,1918-D-2012,Support,2012,Yes,X,-,-,X,-,-,R&D,FLOSS / FOSS,Approved,Proposes that the Executive supports the development of programs developed with free software to optimize agricultural activities.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1918-D-2012&tipo=DECLARACION,,
Argentina,South America,Legislative,7601-D-2012,Support,2012,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,"Chamber of Deputies supports the agreement between Linux and the School for Legal Science of the Patagonia San Juan Bosco University, to provide training in free software.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7601-D-2012&tipo=DECLARACION,,
Argentina,South America,Legislative,1772-D-2015: Software Licensing Policy for the National State,Bill,2015,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,"Art. 3: The Executive, Legislative and Judicial Powers of the Nation, the National Decentralized Organizations and the Companies where the National State has a majority shareholding, must implement ""Free Software"" or Free Programs in their computer systems and equipment.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1772-D-2015&tipo=LEY,,
Argentina,South America,Legislative,6247-D-2013,Support,2013,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Chamber of Deputies declares of interest the 2013 Latinamerican Conference of GeoGebra - an educational free software.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6247-D-2013&tipo=RESOLUCION,,
Argentina,South America,Legislative,4633-D-2013,Support,2013,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Chamber of Deputies supports the Latin American Free Software Installation Festival (FLISOL).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4633-D-2013&tipo=DECLARACION,,
Argentina,South America,Ministry,Resolution 290/2013: Approve the Regulations for “Hackathon Program.Ar”,Support,2013,No,-,-,X,X,-,-,R&D,FLOSS / FOSS,Approved,"Objective of the hackathon is to promote the use of ""Free Software"".",http://servicios.infoleg.gob.ar/infolegInternet/anexos/215000-219999/218281/norma.htm,,
Argentina,South America,Legislative,1608-S-2017,Support,2017,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Senate supports the 2017 Latin American Free Software Installation Festival (FLISOL).,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1608.17/S/PD,,
Argentina,South America,Ministry,Establishing a productive agglomerate dedicated to free software,Support,2013,No,-,-,X,-,-,-,R&D,FLOSS / FOSS,Approved,The national agency for scientific and technological promotion will provide funds to establish a productive agglomerate dedicated to free software.,https://www.iprofesional.com/tecnologia/159530-el-ministerio-de-ciencia-crea-cluster-para-empresas-de-software-libre.amp,,
Argentina,South America,Ministry,Entertech,Support,2006,No,-,-,X,-,-,-,Training,FLOSS / FOSS,Approved,"In collaboration with Oracle and Sun, the Argentinian Ministry of Labor launched Entertech - a program to train citizens in open technologies.",https://www.canal-ar.com.ar/5665-Oracle-y-Sun-entregaran-1-400-becas-de-informatica.html,https://publications.iadb.org/publications/english/document/Public-Private-Collaboration-on-Productive-Development-Policies-in-Argentina.pdf,
Argentina,South America,Ministry,Entertech II,Support,2008,No,-,-,X,-,-,-,Training,FLOSS / FOSS,Approved,"Argentina‘s Ministry of Labor approved EnterTECH, a public-private collaborative program that trains citizens in open technologies.",https://www.canal-ar.com.ar/5665-Oracle-y-Sun-entregaran-1-400-becas-de-informatica.html,https://publications.iadb.org/publications/english/document/Public-Private-Collaboration-on-Productive-Development-Policies-in-Argentina.pdf,
Argentina,South America,Legislative,0934-D-2015: Regime for the Migration of Operating Systems Installed in laptops and desktop devices of the national public administration,Bill,2015,Yes,X,X,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Replicates Bill 1443-D-13.,https://www.hcdn.gob.ar/proyectos/resultados-buscador.html,,
Argentina,South America,Legislative,0109-S-2016,Bill,2016,Yes,X,-,X,X,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Branches and offices in the national public administration are to migrate toward the exclusive use of free software. Expired in February 2018.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/109.16/S/PL,,
Argentina,South America,Legislative,3626-D-2016,Bill,2016,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,Branches and offices in the national public adminstration are to preferentially use free software.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=3626-D-2016&tipo=LEY,,
Argentina,South America,Legislative,0405-S-2018,Bill,2018,Yes,X,-,-,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,Bill would mandate the transition toward free software for all branches and offices of the national public administration. Expired in February 2020.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/405.18/S/PL,,
Argentina,South America,Legislative,2468-D-2018,Bill,2018,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,Preferred use of free software in systems for all branches and offices of national public administration.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2468-D-2018&tipo=LEY,,
Argentina,South America,Legislative,4110-D-2011,Bill,2011,Yes,X,-,-,X,-,-,R&D,FLOSS / FOSS,Failed,Would create the Program for Argentinian Free Software Development.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4110-D-2011&tipo=LEY,,
Argentina,South America,Legislative,2974-D-2011,Support,2011,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Failed,Declares the XI Regional Conference on Free Software to be of Congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2974-D-2011&tipo=RESOLUCION,,
Argentina,South America,Legislative,1913-S-2013,Support,2013,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Failed,Senate would declare support for the agglomerate dedicated to free software. Expired in February 2015,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1913.13/S/PD,,
Argentina,South America,Legislative,6244-D-2016,Support,2016,Yes,-,-,-,-,-,-,R&D,FLOSS / FOSS,Failed,Declares the Argentina International Conference on Free Software to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6244-D-2016&tipo=RESOLUCION,,
Argentina,South America,Legislative,2077-S-2011: To establish the principle of tech neutrality in the public administration,Bill,2011,No,-,-,-,-,-,-,Tech Neutrality,FLOSS / FOSS,Failed,Art. 3 indicates that no office in the public administration will acquire hardware that will rely on only specific software. Bill expired in February 2013.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/2077.11/S/PL,,
Argentina,South America,Legislative,1592-D-2017: Principle of Tech Neutrality in the Public Administration,Bill,2017,No,-,-,-,-,-,-,Tech Neutrality,FLOSS / FOSS,Failed,Art. 4 indicates that no office in the public administration will acquire hardware that will rely on only specific software.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1592-D-2017&tipo=LEY,,
Argentina,South America,Executive,Announcement supporting Linux,Support,2004,Yes,X,-,X,-,-,X,Procurement - advisory,FLOSS / FOSS,Approved,"The National Information Technology Office & National Information Office, which coordinate IT policy and implementation, announced that they promote Linux in all applications in public administration.  The rationale for this decision is lower costs, creating local employment, and security.",https://www.pagina12.com.ar/diario/sociedad/3-31814-2004-02-23.html,https://opensource.org/files/Report%20on%20the%20International%20Status%20of%20Open%20Source%20Software%202010.pdf,
Armenia,Middle East,Executive,On approval of the principles of Internet governance,Strategy,2014,No,-,-,X,X,-,-,Cooperation,OSS,Approved,"These principles mention that while regulation of OSS may be useful, it is important to have purposeful regulation as to not impact the business, social, and political atmosphere. Policymakers should only apply regulation to OSS (among other aspects of the internet) when without such regulations, there is a threat to the existence of the Armenian internet atmosphere. The principles state that the lack of centralized regulation of the internet allowed innovation and competition to flourish, noting OSS as an example. ",http://www.irtek.am/views/act.aspx?aid=77996,,
Armenia,Middle East,Executive,ICT Master Strategy for Republic of Armenia,Strategy,2001,No,-,-,-,X,-,-,Training,OSS,Approved,"This strategy plans to develop and fund an ICT Skills Certification Program, which may be administered by an Enterprise Incubator and funded by American companies and foundations. This will include CISCO, Microsoft, Oracle certifications, and other open source systems and will be supported by Armenian infrastructure. The strategy also outlines aligning curricula to increase competencies in suppliers' software certifications including open source systems. ",https://www.unapcict.org/resources/ictd-infobank/ict-master-strategy-republic-armenia-final-draft,,
Australia,Oceania,Legislative,Government Procurement (Principles) Guideline Amendment Act 2003,Bill,2003,Yes,-,-,-,X,-,-,Procurement - mandatory,OSS,Replaced,A modification of the proposed amendment Financial Management and Accountability (Anti-Restrictive Software Practices) Amendment Bill 2003.,https://www.legislation.act.gov.au/a/2003-63/default.asp,,
Australia,Oceania,Ministry,IP Australia and the Future of Intellectual Property Report,Other,2017,No,-,-,X,X,-,-,R&D,OSS,Proposed,"The agency released the IP Australia and the Future of Intellectual Property report, citing more patents for OSS as an important trend in the digitalization of the economy. ",https://www.ipaustralia.gov.au/sites/default/files/ip_australia_and_the_future_of_intellectual_property.pdf,,
Australia,Oceania,Ministry,Guide to Open Source Software for Australian Government Agencies,Other,2011,Yes,X,-,-,X,-,-,How to Use,OSS,Approved,The Guide to Open Source Software for Australian Government Agencies builds on the Open Source Software Policy. ,https://joinup.ec.europa.eu/sites/default/files/inline-files/OSS%20Country%20Intelligence%20Report%20AU_1.pdf,,
Australia,Oceania,Ministry,Open Source Software Policy,Directives & Regulation,2010,Yes,X,-,-,X,-,-,Procurement - advisory,OSS,Approved,"The Open Source Software Policy listed three policies that government agencies under the Financial Management and Accountability Act 1997 should comply with when procuring OSS, with the goal of encouraging agencies to consider both open source software (OSS) and proprietary software for all ICT procurements after March 1, 2011.",https://www.yumpu.com/en/document/read/33887077/open-source-software-policy-australian-government-information-,https://www.claytonutz.com/knowledge/2011/may/an-open-door-for-open-source-australian-government-open-source-software-policy-released,
Australia,Oceania,Agency,"Better Services, Better Government",Strategy,2002,No,X,-,X,X,X,-,Procurement - advisory,OSS,Approved,"The Government will continue to encourage the use of open source software solutions by developing a range of tools to help Government agencies make informed decisions to suit their IT needs.  Open source software was identified in the Government's 2002 Better services, Better Government e-government strategy as providing opportunities for innovation, sharing of information technology, and potentially new market opportunities for small Australian businesses.",https://webarchive.nla.gov.au/awa/20030412164142/http://www.noie.gov.au/publications/NOIE/better_services-better_gov/index.htm,,
Australia,Oceania,Agency,Digital Transformation Strategy,Strategy,2018,No,-,-,-,X,-,-,R&D,OSS,Approved,The digital transformation strategy has a list of goals to reach by 2025.  They include making source code open to reuse.,https://www.dta.gov.au/dts-roadmap,,
Australia,Oceania,Legislative,Financial Management and Accountability (Anti-Restrictive Software Practices) Amendment Bill 2003,Bill,2003,Yes,-,-,-,X,-,-,Procurement - mandatory,OSS,Failed,Proposed amendment requiring Public Service Agencies prefer OSS wherever practicable.,http://web.archive.org/web/20050404162152/http://parlinfoweb.aph.gov.au/piweb/Repository/Legis/Bills/Linked/18090305.pdf,,
Austria,Europe,Ministry,Recommendation ,Support,2003,Yes,-,-,X,X,-,-,Procurement - advisory,OSS,Failed,The Austrian Ministry of Education recommended the adoption of two open source learning platforms and learning management systems in education.,"International Trade Administration, U.S. Department of Commerce, ""European OSS Policy Initiatives""",,"Details need to be confirmed. No access to original source, cannot locate it elsewhere. Proposed in cited year; no update found"
Austria,Europe,Executive,Digital Austria Platform,Support,2005,Yes,-,-,-,X,-,-,Repository,OSS,Replaced,"A comprehensive platform created to coordinate a standardized federal eGovernment strategy by the federal government, federal states, cities, municipalities, and business. In 2012, the platform was frozen and all existing projects were transferred to EGIZ's Joinup page.",https://joinup.ec.europa.eu/sites/default/files/inline-files/OSS%20Country%20Intelligence%20Report_AT_1.pdf,,
